Question_ID,Test_Type,Education_Level,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Category,Weight,Trait_Measured
AT007,Situational,Advanced,Key talent threatens to leave taking critical knowledge and client relationships. You:,Offer immediate salary increases,Accept their departure and hire replacements,Develop comprehensive retention and knowledge transfer strategies,Report them for potential non-compete violations,Counteroffer with competitor information,C,Talent_Management,1,Human Capital Strategy
AT008,Situational,Advanced,Regulatory changes require fundamental shifts in operations within 6 months. You:,Challenge regulations through legal action,Comply minimally to meet requirements,Develop comprehensive transformation plan exceeding requirements,Delay implementation until enforcement,Lobby for regulation modifications,C,Compliance,1,Regulatory Leadership
AT009,Situational,Advanced,Your research contradicts widely accepted industry practices supported by major consulting firms. You:,Conform to industry consensus,Aggressively promote contrary findings,Conduct additional research and engage thought leaders,Keep findings confidential,Publish anonymously,C,Innovation,1,Thought Leadership
AT010,Situational,Advanced,Global economic crisis impacts all business units requiring 30% cost reduction immediately. You:,Implement across-the-board cuts,Eliminate lowest performing units,Develop strategic cost optimization preserving core capabilities,Freeze all operations temporarily,Sell non-core assets immediately,C,Crisis_Management,1,Crisis Leadership
AT011,Situational,Advanced,Board pressures for short-term results conflict with necessary long-term investments for sustainability. You:,Prioritize short-term results exclusively,Focus only on long-term vision,Develop balanced approach demonstrating near-term progress toward long-term goals,Educate board on long-term thinking,Seek new board members,C,Governance,1,Board Relations
AV001,Values,Advanced,In executive decision-making you prioritize:,Maximizing shareholder value,Balancing stakeholder interests sustainably,Maintaining personal reputation,Following industry best practices,Achieving immediate performance targets,B,Leadership,1,Executive Values
AV002,Values,Advanced,Your ideal organizational culture emphasizes:,High performance and results,Innovation and calculated risk-taking,Collaboration and inclusive decision-making,Stability and operational excellence,Agility and continuous adaptation,E,Culture,1,Cultural Leadership
AV003,Values,Advanced,When facing complex strategic decisions you rely most on:,Quantitative data and analytics,Intuition and experience,Stakeholder consultation and consensus,External expert opinions,Historical precedents and benchmarks,A,Decision_Making,1,Executive Judgment
AV004,Values,Advanced,True professional legacy involves:,Building profitable enterprises,Developing future leaders and organizational capabilities,Achieving industry recognition,Creating innovative solutions,Accumulating personal wealth,B,Legacy,1,Leadership Legacy
AV005,Values,Advanced,You prefer leading initiatives that:,Generate measurable ROI quickly,Transform industries and create new paradigms,Build sustainable competitive advantages,Solve complex societal challenges,Establish market dominance,B,Impact,1,Strategic Impact
AV006,Values,Advanced,Your leadership philosophy centers on:,Driving results through accountability,Empowering others to achieve extraordinary outcomes,Maintaining control and oversight,Building consensus and alignment,Setting vision and inspiring transformation,E,Philosophy,1,Leadership Philosophy
AV007,Values,Advanced,You feel most professionally fulfilled when:,Exceeding financial performance targets,Solving complex strategic challenges,Developing exceptional talent,Creating lasting organizational change,Gaining industry thought leadership,D,Fulfillment,1,Professional Purpose
AV008,Values,Advanced,In stakeholder relationships you emphasize:,Clear contractual arrangements,Mutual value creation and trust,Professional boundaries and protocols,Long-term partnership development,Strategic alliance building,D,Relationships,1,Stakeholder Philosophy
AV009,Values,Advanced,When organizational values conflict with performance pressure you:,Prioritize performance results,Maintain values regardless of consequences,Seek creative solutions honoring both,Escalate decision to board level,Adapt values to circumstances,C,Ethics,1,Values Integration
AV010,Values,Advanced,You prefer feedback that:,Focuses on quantitative performance metrics,Provides strategic perspective and development insights,Comes from multiple stakeholder perspectives,Emphasizes leadership impact and influence,Includes external benchmarking and recognition,B,Development,1,Executive Growth
AV011,Values,Advanced,Ultimate career satisfaction comes from:,Achieving financial independence and security,Creating transformational impact on organizations and people,Becoming recognized thought leader in your field,Building successful enterprises and ventures,Developing next generation of leaders,B,Satisfaction,1,Career Purpose
